id;start_date;end_date;language
1;2020-09-14T02:49:46;2020-09-14T00:40:01;SPANISH
2;2020-09-13T07:39:57;2020-09-14T02:44:22;SPANISH
3;2020-09-13T22:35:16;2020-09-13T09:09:25;FRENCH
4;2020-09-13T13:52:47;2020-09-14T01:24:13;FRENCH
5;2020-09-13T23:23:05;2020-09-14T04:10:04;FRENCH
6;2020-09-13T17:15:26;2020-09-14T05:23:40;FRENCH
7;2020-09-13T19:00:46;2020-09-13T12:51:37;FRENCH
8;2020-09-13T17:56:59;2020-09-14T04:13:07;SPANISH
9;2020-09-13T16:38:08;2020-09-13T13:19:31;SPANISH
10;2020-09-14T00:50:12;2020-09-13T11:24:42;SPANISH
